condition,item,test,layer,llh_left,llh_right,log_odds,test_passed
stripping_VPE,1,test_1,0,-63.75815963745117,-63.031768798828125,-0.7263908386230469,False
stripping_VPE,1,test_1,1,-16.40354347229004,-16.53743553161621,0.13389205932617188,True
stripping_VPE,1,test_1,2,-15.125127792358398,-15.80380916595459,0.6786813735961914,True
stripping_VPE,1,test_1,3,-14.258095741271973,-15.10151481628418,0.843419075012207,True
stripping_VPE,1,test_1,4,-13.375029563903809,-14.54306411743164,1.168034553527832,True
stripping_VPE,1,test_1,5,-13.466465950012207,-14.759631156921387,1.2931652069091797,True
stripping_VPE,1,test_1,6,-11.742977142333984,-14.230291366577148,2.487314224243164,True
stripping_VPE,1,test_1,7,-9.625662803649902,-13.333100318908691,3.707437515258789,True
stripping_VPE,1,test_1,8,-8.06701374053955,-12.514777183532715,4.447763442993164,True
stripping_VPE,1,test_1,9,-7.839053153991699,-12.601655006408691,4.762601852416992,True
stripping_VPE,1,test_1,10,-4.734565258026123,-10.425398826599121,5.690833568572998,True
stripping_VPE,1,test_1,11,-2.7386512756347656,-7.749232769012451,5.0105814933776855,True
stripping_VPE,1,test_1,12,-5.824294567108154,-7.116765022277832,1.2924704551696777,True
stripping_VPE,1,test_2,0,-61.98124694824219,-62.630577087402344,0.6493301391601562,True
stripping_VPE,1,test_2,1,-15.135184288024902,-15.003726959228516,-0.13145732879638672,False
stripping_VPE,1,test_2,2,-15.009123802185059,-14.354485511779785,-0.6546382904052734,False
stripping_VPE,1,test_2,3,-14.246848106384277,-13.201763153076172,-1.0450849533081055,False
stripping_VPE,1,test_2,4,-14.240470886230469,-12.612077713012695,-1.6283931732177734,False
stripping_VPE,1,test_2,5,-14.097426414489746,-12.615721702575684,-1.4817047119140625,False
stripping_VPE,1,test_2,6,-13.7750883102417,-11.487415313720703,-2.287672996520996,False
stripping_VPE,1,test_2,7,-13.206375122070312,-10.131567001342773,-3.074808120727539,False
stripping_VPE,1,test_2,8,-12.14186954498291,-9.035158157348633,-3.1067113876342773,False
stripping_VPE,1,test_2,9,-12.205602645874023,-8.265032768249512,-3.9405698776245117,False
stripping_VPE,1,test_2,10,-10.834420204162598,-6.690011024475098,-4.1444091796875,False
stripping_VPE,1,test_2,11,-8.734500885009766,-4.75352668762207,-3.9809741973876953,False
stripping_VPE,1,test_2,12,-7.021679401397705,-6.307293891906738,-0.7143855094909668,False
stripping_VPE,3,test_1,0,-61.91131591796875,-62.12953567504883,0.21821975708007812,True
stripping_VPE,3,test_1,1,-9.383806228637695,-9.493264198303223,0.10945796966552734,True
stripping_VPE,3,test_1,2,-8.72620964050293,-8.744620323181152,0.018410682678222656,True
stripping_VPE,3,test_1,3,-8.27861213684082,-8.215299606323242,-0.06331253051757812,False
